cbn,author,title,yearOfPub,isbn,created,modified,lendWhom,lendBefore
1,Bloch Joshua,"Effective java, 3rd ed",2018,978-0-13-468599-1,03-06-2019 17:45,03-06-2019 17:45,,
3,Макконнелл С.,Совершенный код,2010,978-5-7502-0064-1,03-06-2019 18:00,03-06-2019 19:19,,
